David Johnson,RB,ARI
LeVeon Bell,RB,PIT
LeSean McCoy,RB,BUF
Devonta Freeman,RB,ATL
Melvin Gordon,RB,LAC
Jordan Howard,RB,CHI
Jay Ajayi,RB,MIA
Julio Jones,WR,ATL
Antonio Brown,WR,PIT
Aaron Rodgers,QB,GB
DeMarco Murray,RB,TEN
Todd Gurley,RB,LAR
Ezekiel Elliott,RB,DAL
Odell Beckham,WR,NYG
Lamar Miller,RB,HOU
Mike Evans,WR,TB
Rob Gronkowski,TE,NE
Leonard Fournette,RB,JAC
Jordy Nelson,WR,GB
Tom Brady,QB,NE
A.J. Green,WR,CIN
Drew Brees,QB,NO
Marshawn Lynch,RB,OAK
Michael Thomas,WR,NO
T.Y. Hilton,WR,IND
Isaiah Crowell,RB,CLE
Matt Ryan,QB,ATL
Spencer Ware,RB,KC
Ty Montgomery,RB,GB
Mark Ingram,RB,NO
Doug Baldwin,WR,SEA
Greg Olsen,TE,CAR
Dez Bryant,WR,DAL
Amari Cooper,WR,OAK
Travis Kelce,TE,KC
Russell Wilson,QB,SEA
Andrew Luck,QB,IND
Christian McCaffrey,RB,CAR
Carlos Hyde,RB,SF
Bilal Powell,RB,NYJ
Dalvin Cook,RB,MIN
Frank Gore,RB,IND
Jordan Reed,TE,WAS
Allen Robinson,WR,JAC
Tevin Coleman,RB,ATL
Jimmy Graham,TE,SEA
Jameis Winston,QB,TB
DeAndre Hopkins,WR,HOU
Paul Perkins,RB,NYG
Cam Newton,QB,CAR
Joe Mixon,RB,CIN
C.J. Anderson,RB,DEN
Eddie Lacy,RB,SEA
Michael Crabtree,WR,OAK
Ameer Abdullah,RB,DET
Mike Gillislee,RB,NE
Jarvis Landry,WR,MIA
Demaryius Thomas,WR,DEN
Brandin Cooks,WR,NE
Terrance West,RB,BAL
Kirk Cousins,QB,WAS
Kelvin Benjamin,WR,CAR
Kyle Rudolph,TE,MIN
Tyler Eifert,TE,CIN
Alshon Jeffery,WR,PHI
Marcus Mariota,QB,TEN
Terrelle Pryor,WR,WAS
Rob Kelley,RB,WAS
Sammy Watkins,WR,LAR
Golden Tate,WR,DET
Delanie Walker,TE,TEN
Zach Ertz,TE,PHI
Matt Forte,RB,NYJ
Tyreek Hill,WR,KC
Dak Prescott,QB,DAL
Keenan Allen,WR,LAC
Martellus Bennett,TE,GB
Emmanuel Sanders,WR,DEN
Larry Fitzgerald,WR,ARI
Philip Rivers,QB,LAC
Ben Roethlisberger,QB,PIT
Matthew Stafford,QB,DET
Danny Woodhead,RB,BAL
Doug Martin,RB,TB
Jonathan Stewart,RB,CAR
Davante Adams,WR,GB
LeGarrette Blount,RB,PHI
Theo Riddick,RB,DET
Stefon Diggs,WR,MIN
Willie Snead,WR,NO
Adrian Peterson,RB,NO
Duke Johnson,RB,CLE
Randall Cobb,WR,GB
Martavis Bryant,WR,PIT
Tyrod Taylor,QB,BUF
Derek Carr,QB,OAK
Andy Dalton,QB,CIN
Eric Ebron,TE,DET
Julian Edelman,WR,NE
Derrick Henry,RB,TEN
Pierre Garcon,WR,SF
Hunter Henry,TE,LAC
Jamison Crowder,WR,WAS
Kenny Britt,WR,CLE
Kareem Hunt,RB,KC
Darren Sproles,RB,PHI
Brandon Marshall,WR,NYG
Coby Fleener,TE,NO
Donte Moncrief,WR,IND
DeSean Jackson,WR,TB
Jason Witten,TE,DAL
Jack Doyle,TE,IND
Eli Manning,QB,NYG
Blake Bortles,QB,JAC
Mike Wallace,WR,BAL
Eric Decker,WR,TEN
Giovani Bernard,RB,CIN
DeVante Parker,WR,MIA
Jeremy Maclin,WR,BAL
Tyrell Williams,WR,LAC
Jordan Matthews,WR,BUF
Adam Thielen,WR,MIN
Marvin Jones,WR,DET
James White,RB,NE
Jamaal Charles,RB,DEN
Cameron Brate,TE,TB
Carson Wentz,QB,PHI
John Brown,WR,ARI
Rishard Matthews,WR,TEN
Carson Palmer,QB,ARI
Corey Coleman,WR,CLE
Jared Cook,TE,OAK
C.J. Fiedorowicz,TE,HOU
Austin Hooper,TE,ATL
Cameron Meredith,WR,CHI
Chris Thompson,RB,WAS
Charles Clay,TE,BUF
Julius Thomas,TE,MIA
Latavius Murray,RB,MIN
Antonio Gates,TE,LAC
Darren McFadden,RB,DAL
Ted Ginn,WR,NO
Joe Flacco,QB,BAL
Samaje Perine,RB,WAS
Corey Davis,WR,TEN
Jeremy Hill,RB,CIN
Robby Anderson,WR,NYJ
C.J. Prosise,RB,SEA
Allen Hurns,WR,JAC
Tyler Lockett,WR,SEA
Stephen Gostkowski,K,NE
Matt Bryant,K,ATL
Mason Crosby,K,GB
Wil Lutz,K,NO
Dan Bailey,K,DAL
Phil Dawson,K,ARI
Adam Vinatieri,K,IND
Sebastian Janikowski,K,OAK
Graham Gano,K,CAR
Chris Boswell,K,PIT
Dustin Hopkins,K,WAS
Blair Walsh,K,SEA
Seahawks,DST,SEA
Broncos,DST,DEN
Cardinals,DST,ARI
Panthers,DST,CAR
Texans,DST,HOU
Chiefs,DST,KC
Rams,DST,LAR
Patriots,DST,NE
Vikings,DST,MIN
Bengals,DST,CIN
Jets,DST,NYJ
Packers,DST,GB
Shane Vereen,RB,NYG
Charles Sims,RB,TB
Jamaal Williams,RB,GB
Thomas Rawls,RB,SEA
Ryan Succop,K,TEN
Randy Bullock,K,CIN
Josh Lambo,K,LAC
Nick Folk,K,TB
Aldrick Rosas,K,NYG
Steven Hauschka,K,BUF
Rex Burkhead,RB,NE
Sterling Shepard,WR,NYG
David Njoku,TE,CLE
Alex Smith,QB,KC
